id,creator
0,Shochiku
1,Pony Canyon
2,Kodansha
3,ABC Animation
4,Quaras
5,bilibili
6,BeDream
7,Pony Canyon Enterprise
8,Tokuma Shoten
9,Nippon Television Network
10,Aniplex
11,Delfi Sound
12,Square Enix
13,Mainichi Broadcasting System
14,Studio Moriken
15,Annapuru
16,Dentsu
17,NHK
18,Hakusensha
19,Asmik Ace
20,Toy's Factory
21,Bandai Visual
22,Bandai
23,Bandai Namco Entertainment
24,Hakuhodo DY Media Partners
25,TV Tokyo
26,Shueisha
27,Production I.G
28,Techno Sound
29,Toho
30,Sound Team Don Juan
31,Amuse
32,JR East Marketing & Communications
33,Kadokawa
34,voque ting
35,Twin Engine
36,Warner Bros. Japan
37,VAP
38,Shogakukan-Shueisha Productions
39,Frontier Works
40,Media Factory
41,Movic
42,AT-X
43,Kadokawa Pictures Japan
44,Nitroplus
45,Notes
46,Fuji TV
47,TBS
48,Rakuonsha
49,Animation Do
50,Sony Music Entertainment
51,KlockWorx
52,BS Fuji
53,Hakuhodo DY Music & Pictures
54,Shogakukan
55,TOHO animation
56,Takeshobo
57,Sony Music Communications
58,Kadokawa Media House
59,Cygames
60,Kanetsu Investment
61,Global Solutions
62,IRMA LA DOUCE
63,TV Osaka
64,Nihon Ad Systems
65,Avex Pictures
66,TMS Music
67,Kitty Films
68,Tokuma Japan Communications
69,Tencent Penguin Pictures
70,dugout
71,Sumzap
72,Miracle Bus
73,Cyclone Graphics
74,DAX Production
75,King Records
76,Trinity Sound
77,Miracle Robo
78,Studio Jack
79,Audio Highs
