id,genre
0,Action
1,Comedy
2,Slice of Life
3,Supernatural
4,Adventure
5,Fantasy
6,Mystery
7,Drama
8,Sci-Fi
9,Suspense
10,Ecchi
11,Avant Garde
12,Horror
13,Romance
14,Sports
15,Science Fiction
16,Animation
17,Family
18,TV Movie
19,Thriller
20,War
21,Crime
22,Western
23,History
24,Music
25,Talk
26,Action & Adventure
27,War & Politics
28,Sci-Fi & Fantasy
29,Soap
30,News
31,Reality
32,Documentary
33,Kids
34,Free to Play
35,Strategy
36,Indie
37,RPG
38,Animation & Modeling
39,Video Production
40,Casual
41,Simulation
42,Racing
43,Young Adult
44,Fiction
45,Dystopia
46,Teen
47,Post Apocalyptic
48,Nonfiction
49,Classics
50,Biography
51,Memoir
52,Historical
53,Holocaust
54,Autobiography
55,World War II
56,Historical Fiction
57,Literature
58,Childrens
59,Classic Literature
60,Novels
61,Contemporary
62,Realistic Fiction
63,Coming Of Age
64,Love
65,Middle Grade
66,Audiobook
67,Canada
68,Mythology
69,Urban Fantasy
70,Greek Mythology
71,Magic
72,School
73,Read For School
74,Paranormal
75,Vampires
76,Angels
77,LGBT
78,Mental Health
79,Time Travel
80,Science Fiction Fantasy
81,Steampunk
82,Paranormal Romance
83,Young Adult Contemporary
84,High School
85,Books About Books
86,Young Adult Fantasy
87,New Adult
88,Chick Lit
89,High Fantasy
90,Contemporary Romance
91,Young Adult Romance
92,Aliens
93,Werewolves
94,Witches
95,Retellings
96,Fae
97,New York
98,Book Club
99,Fairy Tales
100,Mental Illness
101,Psychology
102,Queer
103,Poetry
104,Abuse
105,Demons
106,Travel
107,Zombies
108,Young Adult Paranormal
109,Dragons
110,Mermaids
111,Australia
112,Death
113,Apocalyptic
114,Survival
115,Ghosts
116,Humor
117,Cultural
118,Magical Realism
119,Novella
120,Short Stories
121,Adult
122,Road Trip
123,Space
124,Superheroes
125,Epic Fantasy
126,Shapeshifters
127,College
