,work_id,creator_id
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,1,5
6,1,6
7,1,7
8,2,8
9,2,9
10,2,10
11,2,11
12,2,12
13,2,13
14,4,14
15,5,5
16,5,15
17,5,16
18,5,17
19,6,18
20,6,5
21,6,19
22,6,20
23,6,21
24,7,5
25,8,18
26,8,22
27,8,23
28,8,10
29,8,24
30,8,25
31,8,26
32,9,5
33,9,27
34,9,28
35,9,29
36,10,1
37,11,30
38,11,31
39,11,32
40,11,33
41,11,34
42,12,35
43,12,36
44,13,5
45,13,37
46,13,17
47,14,18
48,14,5
49,14,15
50,14,38
51,14,0
52,14,34
53,15,39
54,15,15
55,15,28
56,15,40
57,15,6
58,15,41
59,15,42
60,16,30
61,16,43
62,16,33
63,17,44
64,17,33
65,18,5
66,18,6
67,18,7
68,19,5
69,20,45
70,20,40
71,20,46
72,20,47
73,21,5
74,21,13
75,21,48
76,21,37
77,22,0
78,22,1
79,22,49
80,22,34
81,23,15
82,23,28
83,23,10
84,23,21
85,23,50
86,23,34
87,24,37
88,25,18
89,25,5
90,25,15
91,25,34
92,26,15
93,26,28
94,26,10
95,26,21
96,26,50
97,26,34
98,27,16
99,27,51
100,27,34
101,28,18
102,28,0
103,29,15
104,29,28
105,29,10
106,29,21
107,29,50
108,29,34
109,30,17
110,31,5
111,31,17
112,31,52
113,32,5
114,32,6
115,32,53
116,33,5
117,33,15
118,33,6
119,33,16
120,33,54
121,34,55
122,34,28
123,34,38
124,34,21
125,34,56
126,34,57
127,35,58
128,35,34
129,36,5
130,37,5
131,37,28
132,37,34
133,37,59
134,38,60
135,38,61
136,38,62
137,39,18
138,39,55
139,39,45
140,39,63
141,39,64
142,39,65
143,39,34
144,39,59
145,40,5
146,40,6
147,41,55
148,41,28
149,41,38
150,41,56
151,41,57
152,42,40
153,42,66
154,42,46
155,42,67
156,43,5
157,43,34
158,44,5
159,44,34
160,45,18
161,45,5
162,45,19
163,45,20
164,46,5
165,46,37
166,46,17
167,47,39
168,47,15
169,47,28
170,47,40
171,47,6
172,47,41
173,47,42
174,48,40
175,48,42
176,49,55
177,49,15
178,49,68
179,49,6
180,49,44
181,49,33
182,50,18
183,50,5
184,50,15
185,50,69
186,50,70
187,50,71
188,50,34
189,51,18
190,51,5
191,51,15
192,51,34
193,52,72
194,52,44
195,53,18
196,53,5
197,53,15
198,53,69
199,53,73
200,53,70
201,53,34
202,54,74
203,54,75
204,55,39
205,55,15
206,55,6
207,55,76
208,56,77
209,57,5
210,57,6
211,58,30
212,58,33
213,58,34
214,59,5
215,59,15
216,59,16
217,59,54
218,59,78
219,60,79
220,60,30
221,60,15
222,60,80
223,60,23
224,60,81
225,60,82
226,61,18
227,61,5
228,61,15
229,61,34
230,62,23
231,62,67
232,63,18
233,63,5
234,63,15
235,63,31
236,63,60
237,63,38
238,64,28
239,64,6
240,64,83
241,64,84
242,65,5
243,65,85
244,65,3
245,65,86
246,65,87
247,65,47
248,65,17
249,66,81
250,67,18
251,67,5
252,67,15
253,67,34
254,67,88
255,68,30
256,68,6
257,68,33
258,69,39
259,69,15
260,69,28
261,69,40
262,69,6
263,69,89
264,69,42
265,70,5
266,70,6
267,70,7
268,71,90
269,72,91
270,72,92
271,72,93
272,72,7
273,73,18
274,73,5
275,73,15
276,73,34
277,74,9
278,74,11
279,74,94
280,74,95
281,74,96
282,74,97
283,74,98
284,74,99
285,74,14
286,75,30
287,75,6
288,75,33
289,76,18
290,76,5
291,76,19
292,76,20
293,77,77
294,77,40
295,77,6
296,77,47
297,77,100
298,78,5
299,78,6
300,79,18
301,79,101
302,79,44
303,79,102
304,80,28
305,80,50
306,80,34
307,80,103
